High School Name,Metro_Area,HS City,enrolled2015PctSeniors,BlackHispMulti,WhiteOther,atRiskPct,ecoDisPct,collegeReadyBothPct,avgSAT,avgACT,Admitted2015,Enrolled2015,Color
McAllen High School,,McAllen,0.03158,0.925,0.075,0.532,0.583,0.47,1363,18.2,20,12,Minority
Sandra Day O'Connor Hs,San Antonio-New Braunfels,Helotes,0.03155,0.623,0.377,0.482,0.236,0.72,1476,21.6,27,23,Minority
Del Valle High School Go Cente,Austin-Round Rock,Del Valle,0.03110,0.935,0.065,0.568,0.83,0.45,1252,17.6,21,13,Minority
Burnet High School,,Burnet,0.03109,0.306,0.693,0.398,0.428,0.43,1358,19.9,9,6,White
Lyndon B Johnson High School,Austin-Round Rock,Austin,0.03106,0.971,0.029,0.667,0.84,0.33,1203,16.2,7,5,Minority
Sealy High School,Houston-The Woodlands-Sugar Land,Sealy,0.03012,0.561,0.438,0.411,0.521,0.54,1411,20.7,10,5,Minority
Dripping Springs High School,Austin-Round Rock,Dripping Springs,0.03003,0.22,0.779,0.249,0.092,0.77,1619,24.3,23,10,White
Lloyd V Berkner High School,Dallas-Fort Worth-Arlington,Richardson,0.02962,0.627,0.373,0.521,0.527,0.53,1500,18.7,25,17,Minority
W B Ray High School,,Corpus Christi,0.02948,0.841,0.158,0.561,0.606,0.52,1393,19.7,24,12,Minority
Carrizo Springs High School,,Carrizo Springs,0.02941,0.943,0.057,0.561,0.641,0.41,1275,17.8,6,4,Minority
Gonzales High School,,Gonzales,0.02941,0.696,0.303,0.585,0.57,0.46,1414,20.4,5,4,Minority
Seguin High School,San Antonio-New Braunfels,Seguin,0.02899,0.7,0.3,0.541,0.535,0.42,1380,20.1,11,10,Minority
Belton High School,,Belton,0.02896,0.425,0.574,0.378,0.379,0.6,1465,21.6,24,17,White
New Tech High At Coppell,Dallas-Fort Worth-Arlington,Coppell,0.02885,0.23,0.77,0.233,0.124,0.71,1602,22.5,4,3,White
Marion High School,San Antonio-New Braunfels,Marion,0.02885,0.349,0.651,0.405,0.321,0.51,1409,20.6,4,3,White
Langham Creek High School,Houston-The Woodlands-Sugar Land,Houston,0.02865,0.618,0.381,0.344,0.435,0.61,1499,22.3,45,21,Minority
Creekview High School,Dallas-Fort Worth-Arlington,Carrollton,0.02845,0.587,0.413,0.452,0.489,0.57,1492,21.8,21,13,Minority
School Of Businesss/Management,Dallas-Fort Worth-Arlington,Dallas,0.02830,0.971,0.03,0.22,0.794,0.85,1453,19.7,6,3,Minority
Sharyland High School,,Mission,0.02827,0.929,0.072,0.392,0.505,0.54,1409,19.1,26,16,Minority
"South Texas Business, Education, Tech Acad",,Edinburg,0.02817,0.926,0.073,0.424,0.684,0.6,1374,19,10,4,Minority
Lake Ridge High School,Dallas-Fort Worth-Arlington,Mansfield,0.02810,0.622,0.376,0.39,0.271,0.51,1419,21.2,16,12,Minority
High School For Law Enforcement & Cri. Jus.,Houston-The Woodlands-Sugar Land,Houston,0.02804,0.954,0.045,0.646,0.836,0.69,1340,18.6,5,3,Minority
Argyle High School,Dallas-Fort Worth-Arlington,Argyle,0.02778,0.119,0.88,0.101,0.093,0.72,1600,24.5,10,5,White
Lamar High School,Dallas-Fort Worth-Arlington,Arlington,0.02778,0.705,0.295,0.697,0.558,0.5,1477,22.1,23,16,Minority
Needville High School,Houston-The Woodlands-Sugar Land,Needville,0.02747,0.432,0.567,0.348,0.296,0.68,1461,21.6,7,5,White
Navarro High School,San Antonio-New Braunfels,Seguin,0.02727,0.413,0.587,0.279,0.302,0.67,1443,20.9,4,3,White
Rockwall High School,Dallas-Fort Worth-Arlington,Rockwall,0.02724,0.261,0.739,0.252,0.161,0.77,1558,23.1,21,14,White
Clear Falls High School,Houston-The Woodlands-Sugar Land,League City,0.02722,0.308,0.692,0.354,0.152,0.76,1599,24.7,26,15,White
Westfield High School,Houston-The Woodlands-Sugar Land,Houston,0.02718,0.893,0.107,0.64,0.693,0.31,1099,17.9,30,19,Minority
Ross S Sterling High School,Houston-The Woodlands-Sugar Land,Baytown,0.02689,0.707,0.292,0.389,0.571,0.52,1422,19.8,16,11,Minority
L V Hightower High School,Houston-The Woodlands-Sugar Land,Missouri City,0.02682,0.86,0.139,0.425,0.477,0.59,1452,20.9,37,14,Minority
Nikki Rowe High School,,McAllen,0.02673,0.939,0.061,0.617,0.656,0.62,1501,18.8,21,12,Minority
Columbus High School,,Columbus,0.02632,0.439,0.561,0.453,0.451,0.64,1357,19.3,4,3,White
Mansfield High School,Dallas-Fort Worth-Arlington,Mansfield,0.02627,0.417,0.582,0.225,0.173,0.66,1534,22.2,24,14,White
Tivy High School,,Kerrville,0.02614,0.447,0.552,0.491,0.446,0.61,1501,22.3,11,8,White
Manor High School,Austin-Round Rock,Manor,0.02609,0.933,0.066,0.477,0.733,0.3,1210,17,19,9,Minority
Maxine L Silva Hlth/Magnet Hs,,El Paso,0.02609,0.884,0.115,0.145,0.445,0.91,1550,21.8,5,3,Minority
Cypress Creek High School,Houston-The Woodlands-Sugar Land,Houston,0.02606,0.556,0.443,0.339,0.422,0.63,1522,22.6,39,19,Minority
Lubbock High School,,Lubbock,0.02570,0.686,0.313,0.358,0.435,0.53,1395,22.9,28,12,Minority
Bastrop High School,Austin-Round Rock,Bastrop,0.02564,0.538,0.462,0.509,0.506,0.59,1414,20.5,7,6,Minority
Frontier High School,Dallas-Fort Worth-Arlington,Mansfield,0.02542,0.478,0.523,0.257,0.324,0.58,1424,21.7,5,3,White
West Brook Senior High School,,Beaumont,0.02524,0.641,0.359,0.279,0.464,0.63,1403,21.6,24,13,Minority
Cooper High School,,Abilene,0.02519,0.501,0.499,0.488,0.489,0.52,1410,20.1,13,10,Minority
Kingwood Park Hs,Houston-The Woodlands-Sugar Land,Kingwood,0.02513,0.308,0.692,0.383,0.175,0.6,1530,23.2,18,10,White
William B Travis High School,Houston-The Woodlands-Sugar Land,Richmond,0.02508,0.566,0.434,0.343,0.275,0.72,1488,21.8,28,15,Minority
Boerne Samuel V Champion Hs,San Antonio-New Braunfels,Boerne,0.02508,0.274,0.726,0.29,0.094,0.73,1616,24.7,18,8,White
Spring Woods Senior Hs,Houston-The Woodlands-Sugar Land,Houston,0.02500,0.859,0.142,0.654,0.765,0.47,1335,19.8,24,11,Minority
Port Isabel High School,,Port Isabel,0.02500,0.902,0.099,0.662,0.592,0.49,1252,16.9,6,3,Minority
Jack E Singley Academy,Dallas-Fort Worth-Arlington,Irving,0.02493,0.836,0.165,0.673,0.69,0.5,1256,19.8,20,9,Minority
Klein Collins High School,Houston-The Woodlands-Sugar Land,Spring,0.02484,0.478,0.522,0.412,0.292,0.59,1498,21.6,32,20,White
Robert E Lee High School,Houston-The Woodlands-Sugar Land,Houston,0.02482,0.888,0.112,0.827,0.609,0.33,1052,17.7,10,7,Minority
Alice High School,,Alice,0.02482,0.944,0.056,0.475,0.602,0.43,1517,18.2,9,7,Minority
Taylor High School,Austin-Round Rock,Taylor,0.02475,0.704,0.295,0.417,0.602,0.47,1387,19,10,5,Minority
Foster High School,Houston-The Woodlands-Sugar Land,Richmond,0.02464,0.511,0.487,0.406,0.224,0.63,1503,22.5,21,12,Minority
Montgomery High School,Houston-The Woodlands-Sugar Land,Montgomery,0.02461,0.164,0.836,0.266,0.185,0.71,1526,23.2,18,11,White
Clear Brook High School,Houston-The Woodlands-Sugar Land,Friendswood,0.02448,0.449,0.552,0.421,0.252,0.67,1512,22.6,32,14,White
Naaman Forest High School,Dallas-Fort Worth-Arlington,Garland,0.02416,0.585,0.415,0.617,0.49,0.48,1403,21.3,20,13,Minority
