High School Name,Metro_Area,HS City,enrolled2015PctSeniors,BlackHispMulti,WhiteOther,atRiskPct,ecoDisPct,collegeReadyBothPct,avgSAT,avgACT,Admitted2015,Enrolled2015,Color
Montwood High School,,El Paso,0.01049,0.949,0.051,0.572,0.584,0.51,1287,19.6,11,6,Minority
Harlandale High School,San Antonio-New Braunfels,San Antonio,0.01044,0.984,0.017,0.744,0.851,0.42,1183,18.4,11,4,Minority
Central Senior High School,,Beaumont,0.01044,0.977,0.023,0.393,0.793,0.31,1171,14.2,10,4,Minority
Wichita Falls High School,,Wichita Falls,0.01042,0.648,0.352,0.582,0.729,0.53,1398,19.5,8,3,Minority
Thurgood Marshall High School,Houston-The Woodlands-Sugar Land,Missouri City,0.01031,0.974,0.027,0.594,0.632,0.3,1214,16.4,9,3,Minority
Dr John D Horn High School,Dallas-Fort Worth-Arlington,Mesquite,0.01018,0.753,0.247,0.411,0.486,0.58,1394,19.5,10,5,Minority
Valley View High School,,Pharr,0.01003,0.997,0.003,0.469,0.933,0.51,1180,18.5,12,3,Minority
Desoto High School,Dallas-Fort Worth-Arlington,Desoto,0.01003,0.965,0.036,0.404,0.598,0.36,1250,17,21,6,Minority
Luther Burbank High School,San Antonio-New Braunfels,San Antonio,0.01000,0.985,0.015,0.734,0.878,0.44,1180,16.6,14,3,Minority
Irving High School,Dallas-Fort Worth-Arlington,Irving,0.01000,0.907,0.092,0.763,0.737,0.51,1213,17.3,15,5,Minority
Weslaco East High School,,Weslaco,0.00998,0.992,0.007,0.663,0.694,0.42,1484,17.1,13,4,Minority
Spring High School,Houston-The Woodlands-Sugar Land,Spring,0.00994,0.72,0.279,0.613,0.552,0.4,1198,19.3,13,7,Minority
Little Elm High School,Dallas-Fort Worth-Arlington,Little Elm,0.00993,0.586,0.415,0.568,0.423,0.57,1421,20.3,6,3,Minority
Vidor High School,,Vidor,0.00990,0.089,0.91,0.523,0.389,0.52,1418,21.6,8,3,White
Godley High School,Dallas-Fort Worth-Arlington,Godley,0.00990,0.229,0.772,0.471,0.441,0.62,1401,21.2,1,1,White
Lopez High School,,Brownsville,0.00983,1,0,0.648,1,0.38,1193,17.7,11,4,Minority
Longview High School,,Longview,0.00980,0.753,0.247,0.558,0.523,0.51,1449,19.6,9,4,Minority
David W Carter High School,Dallas-Fort Worth-Arlington,Dallas,0.00980,0.992,0.008,0.794,0.783,0.27,1140,15.1,3,2,Minority
Stephen F Austin High School,,El Paso,0.00965,0.944,0.057,0.643,0.701,0.34,1174,17.1,7,3,Minority
Houston Academy Intl Studies,Houston-The Woodlands-Sugar Land,Houston,0.00962,0.914,0.086,0.519,0.712,0.75,1366,19.9,6,1,Minority
Zapata High School,,Zapata,0.00962,0.988,0.011,0.509,0.755,0.41,-1,16.9,3,2,Minority
Wilmer-Hutchins High School,Dallas-Fort Worth-Arlington,Dallas,0.00962,0.988,0.011,0.775,0.853,0.23,1146,14.6,3,2,Minority
Highlands High School,San Antonio-New Braunfels,San Antonio,0.00952,0.969,0.032,0.811,0.876,0.31,1193,16.4,10,3,Minority
East Central High School,San Antonio-New Braunfels,San Antonio,0.00946,0.791,0.208,0.649,0.545,0.44,1326,18.9,22,6,Minority
Glen Rose High School,Dallas-Fort Worth-Arlington,Glen Rose,0.00943,0.315,0.684,0.4,0.318,0.51,1419,20.1,3,1,White
Forney High School,Dallas-Fort Worth-Arlington,Forney,0.00943,0.316,0.685,0.267,0.179,0.68,1474,21.7,6,3,White
Marshall High School,,Marshall,0.00943,0.695,0.305,0.545,0.636,0.43,1397,19.1,6,3,Minority
Whitney High School,,Whitney,0.00943,0.215,0.784,0.561,0.535,0.64,1529,22.6,2,1,White
Tarkington High School,Houston-The Woodlands-Sugar Land,Cleveland,0.00943,0.097,0.905,0.5,0.395,0.53,1446,18.4,2,1,White
Hillsboro High School,,Hillsboro,0.00943,0.72,0.28,0.522,0.682,0.43,1379,19.9,1,1,Minority
Mexia High School,,Mexia,0.00943,0.726,0.275,0.627,0.641,0.36,-1,18.4,1,1,Minority
Canyon Lake High School,San Antonio-New Braunfels,Fischer,0.00939,0.264,0.736,0.497,0.367,0.56,1466,21,7,2,White
Smithville High School,Austin-Round Rock,Smithville,0.00935,0.353,0.647,0.469,0.441,0.63,1437,19.8,3,1,White
Green B Trimble Technical Hs,Dallas-Fort Worth-Arlington,Fort Worth,0.00930,0.977,0.023,0.667,0.626,0.52,1260,18.2,16,4,Minority
Corsicana High School,,Corsicana,0.00929,0.681,0.318,0.508,0.64,0.51,1317,18.2,7,3,Minority
La Joya Palmview High School,,Mission,0.00926,0.998,0.002,0.792,0.959,0.47,1246,17.1,18,4,Minority
Pharr San Juan Alamo T-Stem,,Pharr,0.00917,0.983,0.018,0.348,0.751,0.53,1243,18.8,3,1,Minority
Huntington High School,,Huntington,0.00917,0.097,0.903,0.517,0.405,0.42,1427,19.2,2,1,White
Aubrey High School,Dallas-Fort Worth-Arlington,Aubrey,0.00909,0.214,0.787,0.277,0.231,0.66,1486,22.8,5,1,White
San Elizario High School,,San Elizario,0.00909,0.992,0.008,0.589,0.965,0.33,1156,16.4,3,2,Minority
South Garland High School,Dallas-Fort Worth-Arlington,Garland,0.00907,0.895,0.104,0.774,0.748,0.4,1248,17.3,4,4,Minority
Bay City High School,,Bay City,0.00905,0.713,0.287,0.535,0.547,0.47,1349,22.5,5,2,Minority
Porter High School,Houston-The Woodlands-Sugar Land,Porter,0.00901,0.566,0.435,0.491,0.48,0.46,1429,21.1,7,3,Minority
Yoakum High School,,Yoakum,0.00901,0.573,0.428,0.56,0.488,0.6,1575,19.8,2,1,Minority
Burleson High School,Dallas-Fort Worth-Arlington,Burleson,0.00896,0.261,0.739,0.375,0.336,0.54,1422,21,4,3,White
Kennedale High School,Dallas-Fort Worth-Arlington,Kennedale,0.00893,0.465,0.535,0.439,0.327,0.54,1445,21.3,6,2,White
Judson Senior High School,San Antonio-New Braunfels,Converse,0.00890,0.78,0.221,0.841,0.505,0.44,1341,19.4,13,5,Minority
Roy Miller High School,,Corpus Christi,0.00885,0.923,0.078,0.677,0.759,0.35,1123,15.4,9,2,Minority
Johnny Economedes High School,,Edinburg,0.00885,0.992,0.007,0.741,0.929,0.41,1253,17.2,14,4,Minority
Caldwell High School,,Caldwell,0.00877,0.426,0.574,0.407,0.409,0.45,1494,20.9,4,1,White
Llano High School,,Llano,0.00877,0.189,0.81,0.525,0.468,0.72,1428,23.3,3,1,White
Fredericksburg High School,,Fredericksburg,0.00877,0.423,0.577,0.491,0.42,0.57,1494,21.8,6,2,White
Wylie East High School,Dallas-Fort Worth-Arlington,Wylie,0.00875,0.394,0.606,0.346,0.258,0.62,1445,21.7,7,3,White
Robert E Lee High School,,Midland,0.00865,0.665,0.334,0.662,0.228,0.54,1482,21.2,12,5,Minority
Jourdanton High School,San Antonio-New Braunfels,Jourdanton,0.00862,0.565,0.434,0.424,0.473,0.51,1389,19.9,2,1,Minority
Wharton High School,,Wharton,0.00855,0.809,0.191,0.606,0.674,0.43,1371,18.9,1,1,Minority
C F Brewer High School,Dallas-Fort Worth-Arlington,Fort Worth,0.00852,0.46,0.54,0.521,0.454,0.53,1372,20.3,7,3,White
Booker T Washington Senior Hs,Houston-The Woodlands-Sugar Land,Houston,0.00847,0.965,0.035,0.828,0.688,0.35,1143,19.4,6,1,Minority
Coldspring High School,,Coldspring,0.00847,0.335,0.664,0.646,0.585,0.34,1344,19.1,2,1,White
Orangefield High School,,Orangefield,0.00840,0.085,0.915,0.336,0.315,0.6,1448,23.5,3,1,White
Southwest High School,Dallas-Fort Worth-Arlington,Fort Worth,0.00840,0.8,0.2,0.598,0.585,0.45,1280,18.2,6,2,Minority
Pearsall High School,,Pearsall,0.00840,0.937,0.065,0.683,0.784,0.34,-1,17.4,2,1,Minority
Hereford High School,,Hereford,0.00837,0.842,0.158,0.744,0.742,0.25,1680,19.1,3,2,Minority
B F Terry High School,Houston-The Woodlands-Sugar Land,Rosenberg,0.00836,0.867,0.133,0.664,0.615,0.53,1347,18.4,7,3,Minority
Huntsville High School,,Huntsville,0.00833,0.544,0.456,0.527,0.453,0.49,1436,19.7,7,3,Minority
Lyford High School,,Lyford,0.00833,0.985,0.014,0.496,0.742,0.46,1343,17.5,1,1,Minority
Copperas Cove High School,,Copperas Cove,0.00830,0.511,0.488,0.325,0.406,0.5,1379,19.6,9,4,Minority
Bonham High School,,Bonham,0.00826,0.292,0.708,0.476,0.575,0.56,1463,20.3,1,1,White
Lincoln Humanities/Communications,Dallas-Fort Worth-Arlington,Dallas,0.00820,0.991,0.01,0.792,0.811,0.31,1081,14.8,4,1,Minority
Dr Ralph H Poteet High School,Dallas-Fort Worth-Arlington,Mesquite,0.00817,0.646,0.352,0.348,0.509,0.54,1365,20.1,9,3,Minority
Tuloso-Midway High School,,Corpus Christi,0.00813,0.757,0.243,0.392,0.408,0.56,1439,21,8,2,Minority
Rockwall-Heath High School,Dallas-Fort Worth-Arlington,Heath,0.00811,0.34,0.66,0.227,0.259,0.62,1542,22.6,11,4,White
William Howard Taft Hs,San Antonio-New Braunfels,San Antonio,0.00810,0.776,0.223,0.529,0.416,0.54,1433,21.6,11,5,Minority
Evolution Academy Charter Schl,Dallas-Fort Worth-Arlington,Richardson,0.00806,0.873,0.129,0.924,0.486,0.26,1289,-1,1,1,Minority
Robstown High School,,Robstown,0.00794,0.984,0.016,0.766,0.82,0.42,-1,16.9,2,1,Minority
Deer Park High School South,Houston-The Woodlands-Sugar Land,Deer Park,0.00791,0.536,0.464,0.292,0.369,0.61,1450,20.8,24,7,Minority
Mission Early College Hs,,El Paso,0.00787,0.952,0.048,0.09,0.723,0.91,1528,21.5,3,1,Minority
Karen Wagner High School,San Antonio-New Braunfels,San Antonio,0.00787,0.882,0.118,0.87,0.701,0.3,1214,17.1,5,3,Minority
Sam Rayburn High School,Houston-The Woodlands-Sugar Land,Pasadena,0.00786,0.933,0.067,0.537,0.773,0.38,1285,18.2,21,5,Minority
La Marque High School,Houston-The Woodlands-Sugar Land,La Marque,0.00781,0.886,0.114,0.249,0.188,0.37,1220,16.7,1,1,Minority
Madisonville High School,,Madisonville,0.00781,0.537,0.463,0.438,0.668,0.45,1354,18.1,1,1,Minority
West Oso High School,,Corpus Christi,0.00775,0.98,0.02,0.622,0.898,0.38,1167,16,4,1,Minority
Cuero High School,,Cuero,0.00769,0.512,0.489,0.643,0.436,0.57,1417,20.3,2,1,Minority
Calallen High School,,Corpus Christi,0.00766,0.566,0.433,0.39,0.305,0.63,1449,21.8,5,2,Minority
United High School,,Laredo,0.00765,0.981,0.019,0.454,0.562,0.45,1322,20.4,42,8,Minority
Scarborough Senior High School,Houston-The Woodlands-Sugar Land,Houston,0.00763,0.955,0.044,0.773,0.926,0.25,1051,16.6,5,1,Minority
Western Hills High School,Dallas-Fort Worth-Arlington,Fort Worth,0.00760,0.616,0.383,0.658,0.475,0.39,1227,17.7,4,2,Minority
Saginaw High School,Dallas-Fort Worth-Arlington,Saginaw,0.00759,0.562,0.438,0.356,0.421,0.45,1397,20,9,3,Minority
Pasadena High School,Houston-The Woodlands-Sugar Land,Pasadena,0.00752,0.958,0.042,0.54,0.798,0.38,1263,18.2,17,4,Minority
Connally High School,,Waco,0.00752,0.627,0.374,0.573,0.694,0.36,1338,20.7,4,1,Minority
North Crowley High School,Dallas-Fort Worth-Arlington,Fort Worth,0.00750,0.769,0.231,0.602,0.548,0.41,1371,18.5,11,4,Minority
Sulphur Springs High School,,Sulphur Springs,0.00746,0.374,0.626,0.46,0.482,0.56,1444,20.8,4,2,White
Jasper High School,,Jasper,0.00741,0.568,0.432,0.638,0.648,0.49,1498,19.2,1,1,Minority
Willis High School,Houston-The Woodlands-Sugar Land,Willis,0.00739,0.41,0.59,0.533,0.495,0.46,1391,20,10,3,White
Charles H Milby High School,Houston-The Woodlands-Sugar Land,Houston,0.00735,0.993,0.008,0.82,0.72,0.26,1098,19.3,12,3,Minority
La Vega High School,,Waco,0.00735,0.828,0.173,0.505,0.759,0.46,1287,17,3,1,Minority
Pine Tree High School,,Longview,0.00730,0.498,0.503,0.405,0.477,0.52,1470,22.5,5,2,White
Willowridge High School,Houston-The Woodlands-Sugar Land,Houston,0.00730,0.988,0.012,0.533,0.723,0.21,1154,15.5,4,2,Minority
Gladewater High School,,Gladewater,0.00730,0.397,0.603,0.604,0.327,0.47,1466,19.3,2,1,White
Lytle High School,San Antonio-New Braunfels,Lytle,0.00725,0.82,0.181,0.447,0.667,0.39,1322,17.8,4,1,Minority
Rio Grande City Hs,,Rio Grande City,0.00721,0.997,0.003,0.447,0.978,0.47,1380,17.1,17,3,Minority
Progreso High School,,Progreso,0.00709,0.998,0.002,0.706,1,0.36,-1,17.3,3,1,Minority
Anna High School,Dallas-Fort Worth-Arlington,Anna,0.00709,0.427,0.573,0.315,0.372,0.59,1454,21.5,1,1,White
Graham High School,,Graham,0.00709,0.28,0.72,0.465,0.429,0.6,1437,21.4,1,1,White
Andress High School,,El Paso,0.00699,0.883,0.117,0.582,0.57,0.42,1309,18.1,4,3,Minority
Conroe High School,Houston-The Woodlands-Sugar Land,Conroe,0.00694,0.649,0.35,0.542,0.562,0.49,1393,20.6,14,5,Minority
Eastlake High School,,El Paso,0.00690,0.956,0.043,0.414,0.693,0.51,1302,19.1,6,3,Minority
Crosby High School,Houston-The Woodlands-Sugar Land,Crosby,0.00687,0.522,0.476,0.442,0.362,0.51,1418,18.8,6,2,Minority
Royse City High School,Dallas-Fort Worth-Arlington,Royse City,0.00685,0.391,0.61,0.274,0.316,0.67,1421,21.6,5,2,White
North Forney High School,Dallas-Fort Worth-Arlington,Forney,0.00683,0.437,0.562,0.436,0.259,0.64,1394,19.6,8,2,White
Thomas Jefferson High School,Dallas-Fort Worth-Arlington,Dallas,0.00683,0.987,0.013,0.828,0.863,0.43,1190,15.8,8,2,Minority
Bandera High School,San Antonio-New Braunfels,Bandera,0.00680,0.294,0.707,0.435,0.409,0.6,1483,22,2,1,White
John F Kennedy High School,San Antonio-New Braunfels,San Antonio,0.00678,0.992,0.007,0.833,0.868,0.35,1204,17.5,7,2,Minority
W H Adamson High School,Dallas-Fort Worth-Arlington,Dallas,0.00669,0.987,0.013,0.749,0.865,0.46,1209,15.9,7,2,Minority
Lockhart High School,Austin-Round Rock,Lockhart,0.00667,0.706,0.295,0.362,0.58,0.42,1345,19.2,6,2,Minority
Pittsburg High School,,Pittsburg,0.00662,0.593,0.407,0.589,0.795,0.46,1403,19.8,4,1,Minority
Giddings High School,,Giddings,0.00658,0.578,0.421,0.534,0.537,0.65,1374,18.4,3,1,Minority
Ferris High School,Dallas-Fort Worth-Arlington,Ferris,0.00654,0.749,0.252,0.438,0.722,0.44,1317,19.5,2,1,Minority
Gilmer High School,,Gilmer,0.00649,0.327,0.673,0.337,0.527,0.44,1370,19.1,1,1,White
Burges High School,,El Paso,0.00643,0.938,0.062,0.708,0.658,0.45,1337,18.3,4,2,Minority
Waco High School,,Waco,0.00641,0.894,0.106,0.735,0.756,0.32,1320,17.4,3,2,Minority
Permian High School,,Odessa,0.00640,0.668,0.332,0.704,0.242,0.47,1384,20.2,6,4,Minority
Aldine Senior High School,Houston-The Woodlands-Sugar Land,Houston,0.00624,0.969,0.031,0.733,0.799,0.49,1260,16.8,24,4,Minority
Macarthur High School,Houston-The Woodlands-Sugar Land,Houston,0.00620,0.981,0.02,0.728,0.823,0.52,1257,17.4,29,5,Minority
Bel Air High School,,El Paso,0.00616,0.972,0.028,0.481,0.795,0.49,1181,18,15,3,Minority
W W Samuell High School,Dallas-Fort Worth-Arlington,Dallas,0.00612,0.989,0.012,0.823,0.879,0.24,1103,15.3,3,2,Minority
Stephen F. Austin High School,Houston-The Woodlands-Sugar Land,Houston,0.00610,0.987,0.014,0.844,0.842,0.42,1107,15.6,6,2,Minority
J Frank Dobie High School,Houston-The Woodlands-Sugar Land,Houston,0.00593,0.829,0.17,0.507,0.563,0.48,1360,21.8,23,5,Minority
Midlothian High School,Dallas-Fort Worth-Arlington,Midlothian,0.00593,0.285,0.715,0.338,0.164,0.69,1492,22.3,6,3,White
Amarillo High School,,Amarillo,0.00592,0.266,0.734,0.302,0.182,0.72,1548,23.1,12,3,White
Magnolia West High School,Houston-The Woodlands-Sugar Land,Magnolia,0.00592,0.313,0.686,0.222,0.381,0.46,1454,22,5,2,White
Hirschi Math And Science Ib,,Wichita Falls,0.00592,0.646,0.353,0.679,0.747,0.37,1365,18.9,1,1,Minority
A C Jones High School,,Beeville,0.00588,0.842,0.158,0.648,0.6,0.39,1485,19.3,4,1,Minority
Eisenhower High School,Houston-The Woodlands-Sugar Land,Houston,0.00587,0.958,0.042,0.774,0.65,0.4,1237,17.3,23,3,Minority
Columbia High School,Houston-The Woodlands-Sugar Land,West Columbia,0.00585,0.415,0.584,0.438,0.459,0.38,1418,21.6,2,1,White
William J Brennan High School,San Antonio-New Braunfels,San Antonio,0.00581,0.76,0.24,0.461,0.341,0.6,1385,19.9,12,3,Minority
Azle High School,Dallas-Fort Worth-Arlington,Azle,0.00563,0.212,0.788,0.383,0.41,0.55,1446,22,4,2,White
Brownwood High School,,Brownwood,0.00556,0.461,0.539,0.446,0.593,0.62,1460,20.8,2,1,White
Thomas Jefferson High School,San Antonio-New Braunfels,San Antonio,0.00551,0.972,0.027,0.716,0.873,0.33,1179,16.3,11,2,Minority
Bridge City High School,,Bridge City,0.00546,0.155,0.846,0.4,0.279,0.58,1422,23.9,2,1,White
University High School,,Waco,0.00546,0.954,0.047,0.805,0.837,0.37,1254,17.6,2,2,Minority
Ennis High School,Dallas-Fort Worth-Arlington,Ennis,0.00535,0.667,0.333,0.581,0.627,0.47,1458,19.5,4,2,Minority
Brazosport High School,Houston-The Woodlands-Sugar Land,Freeport,0.00524,0.812,0.189,0.715,0.662,0.3,1288,17.8,5,1,Minority
Springtown High School,Dallas-Fort Worth-Arlington,Springtown,0.00524,0.212,0.787,0.52,0.452,0.51,1450,21.8,1,1,White
Brownsboro High School,,Brownsboro,0.00518,0.218,0.783,0.36,0.465,0.61,1479,21.7,4,1,White
Mineral Wells High School,,Mineral Wells,0.00518,0.412,0.589,0.549,0.578,0.43,1348,20.8,3,1,White
North Lamar High School,,Paris,0.00518,0.142,0.857,0.441,0.375,-0.01,1539,21.8,2,1,White
H M King High School,,Kingsville,0.00515,0.888,0.111,0.545,0.656,0.38,1270,17.1,3,1,Minority
Burkburnett High School,,Burkburnett,0.00510,0.253,0.749,0.463,0.399,0.57,1521,22.2,1,1,White
Hidalgo High School,,Hidalgo,0.00505,0.998,0.002,0.676,0.909,0.41,1245,16.7,9,1,Minority
Del Valle High School,,El Paso,0.00505,0.983,0.017,0.585,0.844,0.55,1179,18.4,4,2,Minority
J M Hanks High School,,El Paso,0.00501,0.925,0.074,0.508,0.689,0.46,1227,18.3,8,2,Minority
Palo Duro High School,,Amarillo,0.00494,0.788,0.212,0.669,0.87,0.39,1294,16.7,8,2,Minority
Brownsville Porter High School,,Brownsville,0.00493,0.998,0.002,0.835,0.999,0.26,1194,17.3,12,2,Minority
Tascosa High School,,Amarillo,0.00478,0.485,0.514,0.529,0.469,0.48,1440,19.7,6,2,White
Northbrook Senior High School,Houston-The Woodlands-Sugar Land,Houston,0.00462,0.944,0.054,0.707,0.848,0.32,1201,16.7,12,2,Minority
Crowley High School,Dallas-Fort Worth-Arlington,Crowley,0.00459,0.707,0.293,0.599,0.606,0.36,1294,18.8,3,2,Minority
Andrews High School,,Andrews,0.00457,0.669,0.331,0.374,0.245,0.45,1430,19.9,2,1,Minority
Alvarado High School,Dallas-Fort Worth-Arlington,Alvarado,0.00455,0.344,0.657,0.399,0.507,0.48,1367,18.6,2,1,White
Odessa Senior High School,,Odessa,0.00454,0.849,0.15,0.767,0.321,0.38,1357,20.9,11,3,Minority
Henderson Senior High School,,Henderson,0.00452,0.454,0.545,0.375,0.561,0.68,1510,20.8,2,1,White
Livingston High School,,Livingston,0.00448,0.334,0.667,0.569,0.591,0.47,1413,20,2,1,White
Mabank High School,Dallas-Fort Worth-Arlington,Mabank,0.00446,0.172,0.828,0.447,0.516,0.57,1493,21.8,2,1,White
Sam Houston High School,Dallas-Fort Worth-Arlington,Arlington,0.00445,0.891,0.109,0.827,0.851,0.33,1266,16.9,6,3,Minority
H Grady Spruce High School,Dallas-Fort Worth-Arlington,Dallas,0.00441,0.978,0.023,0.84,0.896,0.32,1165,14.9,2,1,Minority
Birdville High School,Dallas-Fort Worth-Arlington,North Richland H,0.00440,0.397,0.603,0.388,0.347,0.63,1512,22.4,8,2,White
O D Wyatt Senior High School,Dallas-Fort Worth-Arlington,Ft Worth,0.00439,0.885,0.116,0.818,0.723,0.25,1064,15,5,1,Minority
West Mesquite High School,Dallas-Fort Worth-Arlington,Mesquite,0.00435,0.877,0.124,0.618,0.763,0.48,1313,19,10,2,Minority
Mercedes High School,,Mercedes,0.00431,0.989,0.011,0.732,0.57,0.51,1514,17.3,6,1,Minority
Lubbock-Cooper High School,,Lubbock,0.00424,0.358,0.642,0.349,0.291,0.63,1477,21.6,4,1,White
Lake View High School,,San Angelo,0.00424,0.735,0.265,0.555,0.647,0.39,1355,19.4,2,1,Minority
Nimitz High School,Dallas-Fort Worth-Arlington,Irving,0.00423,0.842,0.159,0.703,0.732,0.47,1249,18.7,4,2,Minority
Channelview High School,Houston-The Woodlands-Sugar Land,Channelview,0.00412,0.889,0.111,0.471,0.692,0.5,1296,17.3,11,2,Minority
Amon Carter-Riverside High School,Dallas-Fort Worth-Arlington,Ft Worth,0.00408,0.913,0.088,0.757,0.829,0.39,1144,16.7,3,1,Minority
Rio Grande City Cisd Grulla Hs,,Rio Grande City,0.00407,0.999,0.001,0.552,0.976,0.4,-1,17.2,7,1,Minority
Lumberton High School,,Lumberton,0.00407,0.094,0.905,0.402,0.196,0.69,1430,22.6,3,1,White
Lindale High School,,Lindale,0.00407,0.241,0.759,0.265,0.348,0.7,1479,22.2,1,1,White
Memorial High School,San Antonio-New Braunfels,San Antonio,0.00405,0.995,0.006,0.835,0.91,0.33,1125,16.3,7,1,Minority
Lakeview Centennial Hs,Dallas-Fort Worth-Arlington,Garland,0.00389,0.735,0.266,0.604,0.557,0.48,1378,18.7,6,2,Minority
Hallsville High School,,Hallsville,0.00365,0.204,0.796,0.344,0.302,0.55,1420,20.7,2,1,White
Denison Senior High School,,Denison,0.00365,0.293,0.707,0.459,0.537,0.55,1494,21.5,1,1,White
San Benito High School,,San Benito,0.00347,0.992,0.007,0.568,0.683,0.5,1238,16.9,22,2,Minority
New Caney High School,Houston-The Woodlands-Sugar Land,New Caney,0.00337,0.484,0.514,0.603,0.606,0.44,1372,19.5,6,1,White
South Houston High School,Houston-The Woodlands-Sugar Land,South Houston,0.00336,0.96,0.039,0.528,0.811,0.4,1266,16.8,17,2,Minority
Mesquite High School,Dallas-Fort Worth-Arlington,Mesquite,0.00335,0.826,0.174,0.479,0.683,0.52,1307,18.1,12,2,Minority
Lone Star High School,Dallas-Fort Worth-Arlington,Frisco,0.00326,0.396,0.605,0.163,0.144,0.7,1529,22.5,8,1,White
Mount Pleasant High School,,Mount Pleasant,0.00325,0.755,0.246,0.488,0.759,0.41,1377,18.6,3,1,Minority
Irvin High School,,El Paso,0.00319,0.961,0.038,0.701,0.808,0.31,1288,16.8,5,1,Minority
Texas Connections Academy At Houston,Houston-The Woodlands-Sugar Land,Houston,0.00301,0.408,0.591,0.197,0.439,0.54,1521,22.7,1,1,White
Burleson Centennial High School,Dallas-Fort Worth-Arlington,Burleson,0.00297,0.271,0.728,0.372,0.283,0.61,1441,22.2,4,1,White
Foy H Moody Science/Health Hs,,Corpus Christi,0.00290,0.962,0.038,0.663,0.717,0.39,1251,17.4,5,1,Minority
Martin High School,,Laredo,0.00272,0.998,0.002,0.729,0.823,0.33,1245,16.3,3,1,Minority
Bryan Adams High School,Dallas-Fort Worth-Arlington,Dallas,0.00272,0.923,0.078,0.749,0.843,0.36,1219,16.9,15,1,Minority
Roma High School,,Roma,0.00260,0.999,0.001,0.613,0.819,0.37,,17.4,11,1,Minority
Jefferson Davis Sr High School,Houston-The Woodlands-Sugar Land,Houston,0.00255,0.987,0.014,0.838,0.968,0.33,1096,16.5,23,1,Minority
Caprock High School,,Amarillo,0.00253,0.769,0.231,0.602,0.749,0.45,1188,16.8,3,1,Minority
Donna High School,,Donna,0.00245,0.994,0.006,0.78,0.66,0.54,1345,17.6,6,1,Minority
Monterey Senior High School,,Lubbock,0.00231,0.693,0.306,0.485,0.522,0.4,1234,20.8,2,1,Minority
Sunset High School,Dallas-Fort Worth-Arlington,Dallas,0.00227,0.985,0.014,0.71,0.845,0.46,1215,16.7,16,1,Minority
John Tyler High School,,Tyler,0.00216,0.965,0.035,0.627,0.816,0.34,1204,17.4,5,1,Minority
Westbury Senior High School,Houston-The Woodlands-Sugar Land,Houston,0.00214,0.923,0.077,0.837,0.72,0.31,1086,16.2,15,1,Minority
Grand Prairie High School,Dallas-Fort Worth-Arlington,Grand Prairie,0.00197,0.911,0.088,0.694,0.798,0.43,1225,16.9,13,1,Minority
Oliver Wendell Holmes Hs,San Antonio-New Braunfels,San Antonio,0.00190,0.9,0.1,0.621,0.746,0.54,1290,17.8,1,1,Minority
Lyndon B Johnson High School,,Laredo,0.00170,0.999,0,0.636,0.921,0.31,1203,16.2,16,1,Minority
